※入力規則,入力用_アニメ項目マスタの子レコード（シリーズ）のIDを記載,,,,,,劇中歌があれば記載,劇中歌があれば記載,,"特記事項：
スナックバス江（エピソードごとにED異なる）"
,ID,クール,オープニング_制作,オープニング_曲,エンディング_制作,エンディング_曲,その他音楽_制作,その他音楽_曲,,
,id,course,op_artist,op_song,ed_artist,ed_song,other_artist,other_song,,
,21002,1,Official髭男dism,ミックスナッツ,星野源,喜劇,,,,
,21002,2,BUMP OF CHICKEN,SOUVENIR,yama,色彩,,,,
,21041,1,YOASOBI,勇者,milet,Anytime Anywhere,,,,
,21041,2,ヨルシカ,晴る,milet,Anytime Anywhere,,,,
,21083,1,キタニタツヤ,青のすみか,崎山蒼志,燈,,,,
,21083,2,King Gnu,SPECIALZ,羊文学,more than words,,,,
,21133,1,SawanoHiroyuki[nZk]:TOMORROW X TOGETHER,LEveL,krage,request,,,,
,21147,1,BUMP OF CHICKEN,Sleep Walking Orchestra,緑黄色社会,Party!!,,,,
,21147,2,sumika,運命,リーガルリリー,キラキラの灰,,,,
,21165,1,須田景凪,ユートピア,伊東健人,My Factor,,,,
,21165,2,syudou,リヴァーサル,前田佳織里,常識外れヒューマン,,,,
,21183,1,ZAQ,マイナーピース,ニノミヤユイ,今世大革命,,,,
,21198,1,前島麻由,LOVE or HATE?,エレノーラ･ヒルローズ（CV:日高里菜）、ユミエラ･ドルクネス（CV:ファイルーズあい）,好きがレベチ,花たん,Ray of Light,,
,21212,1,waterweed,Cure,ChouCho,Green jade,,,,
,21241,1,ゆいにしお,routine life,JYOCHO,導き、捧げて,,,,
,21255,1,土岐隼一,Another Birthday,THE BINARY,消えない,,,,
,21269,1,NACHERRY,My dream girls,エノルミータ,とげとげサディスティック,,,,
,21284,1,いれいす,Brave,いれいす,夢の中で,,,,
,21298,1,JUVENILE,IMMORTAL,阿部真央,Keep Your Fire Burning,,,,
,21313,1,エリーゼ（CV.石川由依）,believer,荒井麻珠,Listen,,,,
,21326,1,鈴木愛奈,果てのない旅,丁,because,,,,
,21340,1,鬼頭明里,夢の糸,内田真礼,CHA∞IN,,,,
,21354,1,オーイシマサヨシ,なまらめんこいギャル,亜咲花,わやわやわー！,,,,
,21369,1,MADKID,FLY,大西亜玖璃,曖昧ガール,,,,
,21383,1,オトワ,太陽と踊れ月夜に唄え,石原夏織,Gift,,,,
,21397,1,shallm,まっさかさマジック！,LEEVELLES,明日は明日の風が吹く,,,,
,21411,1,そこに鳴る,相聞詩,南條愛乃,光のトリル,,,,
,21425,1,UVERworld,Eye's Sentry,紫 今,学級日誌,,,,
,21442,1,DIALOGUE＋,イージー？ハード？しかして進めっ！,DIALOGUE＋,誰かじゃないから,,,,
,21457,1,ギルドロップス,Baby love！Baby please!,,,,,,
,21471,1,Novelbright,雪の音,チョーキューメイ,snowspring,,,,
,21485,1,いゔどっと,遊歩,GLASGOW,休息充電,,,,
,21499,1,NACHERRY,My dream girls,エノルミータ,とげとげサディスティック,,,,
,21514,1,Sizuk,Lover’s Eye,AliA,ココロノナカ,,,,
