,※入力規則,"キャスト名の姓名の間には半角スペースを入れてください

※キャスト名の欄がピンク色にハイライトされた場合、どこかの行とキャスト名が重複しているため、新たにIDを割り当てずに既存のIDを利用してください","命名ルール：cast_image_{id}.png
※ sFTPでのS3へのアップロード

セルには{フォルダ}/{フォルダ}/{フォルダ}/{ファイル名}のように記載
※コンテンツ素材の前は、public/としてください",芸人さんはコンビ名、アイドルはグループ名を入力用_所属グループマスタのIDで指定。,,ID指定（声優、俳優、監督、スタッフなどをマスタ管理）
,id,キャスト名,キャスト画像,所属グループ,ジャンル,役割
,id,name,image,group,,
,1,江口 拓也,,,anime,声優
,2,種﨑 敦美,,,anime,声優
,3,早見 沙織,,,anime,声優
,4,松田 健一郎,,,anime,声優
,5,吉野 裕行,,,anime,声優
,6,甲斐田 裕子,,,anime,声優
,7,山路 和弘,,,anime,声優
,8,小野 賢章,,,anime,声優
,9,藤原 夏海,,,anime,声優
,10,加藤 英美里,,,anime,声優
,11,佐倉 綾音,,,anime,声優
,12,坂 泰斗,,,anime,声優
,13,中村 源太,,,anime,声優
,14,三川 華月,,,anime,声優
,15,上田 麗奈,,,anime,声優
,16,平川 大輔,,,anime,声優
,17,東地 宏樹,,,anime,声優
,18,銀河 万丈,,,anime,声優
,19,古川 慎,,,anime,声優
,20,花輪 英司,,,anime,声優
,21,本泉 莉奈,,,anime,声優
,22,山本 満太,,,anime,声優
,23,内山 昂輝,,,anime,声優
,24,間宮 康弘,,,anime,声優
,25,花江 夏樹,,,anime,声優
,26,鬼頭 明里,,,anime,声優
,27,津田 健次郎,,,anime,声優
,28,辻 親八,,,anime,声優
,29,八代 拓,,,anime,声優
,30,大塚 明夫,,,anime,声優
,31,Lynn,,,anime,声優
,32,田中 美海,,,anime,声優
,33,井上 和彦,,,anime,声優
,34,佐藤 正治,,,anime,声優
,35,沢城 みゆき,,,anime,声優
,36,斉藤 壮馬,,,anime,声優
,37,加隈 亜衣,,,anime,声優
,38,千葉 翔也,,,anime,声優
,39,日高 里菜,,,anime,声優
,40,久保 ユリカ,,,anime,声優
,41,竹達 彩奈,,,anime,声優
,42,逢坂 良太,,,anime,声優
,43,岩澤 俊樹,,,anime,声優
,44,東山 奈央,,,anime,声優
,45,阿座上 洋平,,,anime,声優
,46,水中 雅章,,,anime,声優
,47,高橋 李依,,,anime,声優
,48,梅原 裕一郎,,,anime,声優
,49,ファイルーズ あい,,,anime,声優
,50,内田 雄馬,,,anime,声優
,51,和氣 あず未,,,anime,声優
,52,石谷 春貴,,,anime,声優
,53,天﨑 滉平,,,anime,声優
,54,坂田 将吾,,,anime,声優
,55,七瀬 彩夏,,,anime,声優
,56,高梨 謙吾,,,anime,声優
,57,田中 敦子,,,anime,声優
,58,会沢 紗弥,,,anime,声優
,59,渡辺 明乃,,,anime,声優
,60,悠木 碧,,,anime,声優
,61,青山 吉能,,,anime,声優
,62,小松 昌平,,,anime,声優
,63,上田 瞳,,,anime,声優
,64,羽多野 渉,,,anime,声優
,65,富田 美憂,,,anime,声優
,66,金田 朋子,,,anime,声優
,67,堀江 由衣,,,anime,声優
,68,佐藤 利奈,,,anime,声優
,69,下野 紘,,,anime,声優
,70,村上 喜紀,,,anime,声優
,71,石井 マーク,,,anime,声優
,72,野上 翔,,,anime,声優
,73,関根 明良,,,anime,声優
,74,菊池 紗矢香,,,anime,声優
,75,安野 希世乃,,,anime,声優
,76,鈴木 杏奈,,,anime,声優
,77,鈴木 崚汰,,,anime,声優
,78,高尾 奏音,,,anime,声優
,79,大空 直美,,,anime,声優
,80,釘宮 理恵,,,anime,声優
,81,雨宮 天,,,anime,声優
,82,花守 ゆみり,,,anime,声優
,83,三上 哲,,,anime,声優
,84,内田 彩,,,anime,声優
,85,岩澤 俊,,,anime,声優
,86,渕崎 ゆり子,,,anime,声優
,87,鳩岡 大輔,,,anime,声優
,88,長谷川 育美,,,anime,声優
,89,島﨑 信長,,,anime,声優
,90,伊瀬 茉莉也,,,anime,声優
,91,土岐 隼一,,,anime,声優
,92,立花 慎之介,,,anime,声優
,93,小野 大輔,,,anime,声優
,94,福原 かつみ,,,anime,声優
,95,和泉 風花,,,anime,声優
,96,古賀 葵,,,anime,声優
,97,杉浦 しおり,,,anime,声優
,98,前田 佳織里,,,anime,声優
,99,風間 万裕子,,,anime,声優
,100,池田 海咲,,,anime,声優
,101,相坂 優歌,,,anime,声優
,102,津田 美波,,,anime,声優
,103,日笠 陽子,,,anime,声優
,104,井上 喜久子,,,anime,声優
,105,福圓 美里,,,anime,声優
,106,阿澄 佳奈,,,anime,声優
,107,笠間 淳,,,anime,声優
